번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
1,1978,김만준,모모,,김만준,모모,"무명가수의 하루,환상의 끝",1986,2026-09-13 14:39
2,1978,이은하,밤차,,이은하,밤차,오리지날 힛송 총결산집,1990,2026-09-13 14:39
3,1979,혜은이,제3한강교,,혜은이,제3 한강교,당신은 모르실거야/제3한강교,1985,2026-09-13 14:39
4,1980,산울림,창문 너머 어렴풋이,창문 너머 어렴풋이 옛 생각이 나겠지요,산울림,창문 너머 어렴풋이 옛 생각이 나겠지요,산울림 제6집 - 조금만 기다려요,1980,2026-09-13 14:39
5,1980,윤시내,열애,,윤시내,열애,윤시내 1집 (열애/아무 노래도 부를 수 없네/이 밤을 즐겁게),1979,2026-09-13 14:39
6,1980,조용필,단발머리,,조용필,단발머리,조용필 1집,1980,2026-09-13 14:39
7,1980,조용필,일편단심 민들레야,,조용필,일편단심 민들레야,조용필 3집,1981,2026-09-13 14:39
8,1980,조용필,창밖의 여자,,조용필,창밖의 여자,조용필 1집,1980,2026-09-13 14:39
9,1981,민해경,어느 소녀의 사랑 이야기,,민해경,어느소녀의사랑이야기,7080가요산책,1989,2026-09-13 14:39
10,1981,송골매,어쩌다 마주친 그대,,송골매,어쩌다 마주친 그대,송골매 2집,1981,2026-09-13 14:39
11,1981,이용,바람이려오,,이용,바람이려오,골든 히트 앨범 14,1994,2026-09-13 14:39
12,1981,조용필,고추잠자리,,조용필,고추잠자리,조용필 3집,1981,2026-09-13 14:39
13,1981,조용필,미워 미워 미워,,조용필,미워 미워 미워,조용필 3집,1981,2026-09-13 14:39
14,1982,윤수일,아파트,,윤수일,아파트,운명인 것을/찻잔의 이별,1987,2026-09-13 14:39
15,1982,전영록,종이학,,전영록,종이학,전영록 2집,1982,2026-09-13 14:39
16,1982,조용필,못찾겠다 꾀꼬리,,조용필,못찾겠다 꾀꼬리,조용필 4집,1982,2026-09-13 14:39
17,1982,조용필,비련,,조용필,비련,조용필 4집,1982,2026-09-13 14:39
18,1982,조용필,자존심,,조용필,자존심,조용필 4집,1982,2026-09-13 14:39
19,1983,김수철,못다 핀 꽃 한 송이,,김수철,못다핀 꽃 한 송이,못다핀 꽃 한 송이,1983,2026-09-13 14:39
20,1983,설운도,잃어버린 30년,,설운도,잃어버린 30년,88 마음이 울쩍해서,1983,2026-09-13 14:39
21,1983,정수라,아! 대한민국,,정수라,아! 대한민국,"정수라(바람이었나,아! 대한민국)",1983,2026-09-13 14:39
22,1983,조용필,친구여,,조용필,친구여,조용필 5집,1983,2026-09-13 14:39
23,1983,해바라기,행복을 주는 사람,,해바라기,행복을 주는 사람,그날 이후,1985,2026-09-13 14:39
24,1984,김수철,나도야 간다,,김수철,나도야 간다,젊은 그대,1984,2026-09-13 14:39
25,1984,김수철,젊은 그대,,김수철,젊은 그대,젊은 그대,1984,2026-09-13 14:39
26,1984,나미,빙글빙글,,나미,빙글빙글,골든앨범,1984,2026-09-13 14:39
27,1984,이문세,나는 행복한 사람,,이문세,나는 행복한 사람,나는 행복한 사람,1984,2026-09-13 14:39
28,1984,이선희,J에게,,이선희,J에게,이선희 1집,1985,2026-09-13 14:39
29,1984,전영록,불티,,전영록,불티,아직 어두운 밤인가봐,1987,2026-09-13 14:39
30,1984,정수라,도시의 거리,,정수라,도시의거리,한국가요사23집,1994,2026-09-13 14:39
31,1985,구창모,희나리,,구창모,희나리,문을열어/당신이 미워지면,1985,2026-09-13 14:39
32,1985,김범룡,바람 바람 바람,,김범룡,바람 바람 바람,김범룡 1집: 바람 바람 바람 / 별빛 속의 님,1985,2026-09-13 14:39
33,1985,들국화,그것만이 내 세상,,들국화,그것만이 내 세상,들국화 Ⅰ,1985,2026-09-13 14:39
34,1985,들국화,행진,,들국화,행진,들국화 Ⅰ,1985,2026-09-13 14:39
35,1985,박미경,민들레 홀씨되어,,박미경,민들레 홀씨되어,85 Mbc 강변가요제 제6회(그대 먼곳에/밤에 피는 장미),1985,2026-09-13 14:39
36,1985,이광조,가까이 하기엔 너무 먼 당신,,이광조,가까이하기엔너무먼당신,사랑을잃어버린나,1985,2026-09-13 14:39
37,1985,이문세,난 아직 모르잖아요,,이문세,난 아직 모르잖아요,난 아직 모르잖아요,1985,2026-09-13 14:39
38,1985,이문세,소녀,,이문세,소녀,난 아직 모르잖아요,1985,2026-09-13 14:39
39,1985,이문세,휘파람,,이문세,휘파람,난 아직 모르잖아요,1985,2026-09-13 14:39
40,1985,전영록,아직도 어두운 밤인가봐,,전영록,아직도 어두운 밤인가봐,아직 어두운 밤인가봐,1987,2026-09-13 14:39
41,1985,조용필,그 겨울의 찻집,,조용필,그 겨울의 찻집,조용필 8집,1985,2026-09-13 14:39
42,1985,조용필,그대여,,조용필,그대여,조용필 7집,1985,2026-09-13 14:39
43,1985,조용필,어제 오늘 그리고,,조용필,"어제, 오늘, 그리고",조용필 7집,1985,2026-09-13 14:39
44,1985,조용필,킬리만자로의 표범,,조용필,킬리만자로의 표범,조용필 8집,1985,2026-09-13 14:39
45,1985,조용필,허공,,조용필,허공,조용필 8집,1985,2026-09-13 14:39
46,1985,주현미,비 내리는 영동교,,주현미,비내리는 영동교,비내리는 영동교/그 정을 어이해요,1985,2026-09-13 14:39
47,1986,부활,희야,,부활,희야,Rock Will Never Die,2004,2026-09-13 14:39
48,1986,어떤날,오래된 친구,,어떤날,오래된 친구,어떤날 1 (1960:1965),1986,2026-09-13 14:39
49,1986,이선희,알고 싶어요,I Want To Know,이선희,알고 싶어요,이선희 2집,1986,2026-09-13 14:39
50,1986,정수라,난 너에게,,정수라,난 너에게,"드림포크송 2000, Vol. 8",1990,2026-09-13 14:39
51,1986,최성수,남남,,최성수,남남,Whisky On The Rock,1987,2026-09-13 14:39
52,1987,김완선,나 홀로 뜰 앞에서,Alone in Front of the Yard,김완선,Alone in Front of the Yard,Alone in Front of the Yard,1987,2026-09-13 14:39
53,1987,민해경,그대는 인형처럼 웃고 있지만,,민해경,그대는 인형처럼 웃고 있지만,히스토리 40년,1989,2026-09-13 14:39
54,1987,소방차,그녀에게 전해주오,,소방차,그녀에게 전해주오,깡통 히스토리,1987,2026-09-13 14:39
55,1987,소방차,어젯밤 이야기,,소방차,어젯밤 이야기,어젯밤 이야기,1987,2026-09-13 14:39
56,1987,유재하,사랑하기 때문에,,유재하,사랑하기 때문에,사랑하기 때문에,1987,2026-09-13 14:39
57,1987,유재하,지난날,,유재하,지난날,사랑하기 때문에,1987,2026-09-13 14:39
58,1987,이문세,그녀의 웃음소리뿐,,이문세,그녀의 웃음소리뿐,이문세 4집,1987,2026-09-13 14:39
59,1987,이문세,깊은 밤을 날아서,,이문세,깊은 밤을 날아서,이문세 4집,1987,2026-09-13 14:39
60,1987,이문세,사랑이 지나가면,,이문세,사랑이 지나가면,이문세 4집,1987,2026-09-13 14:39
61,1987,이문세,이별 이야기,,이문세,이별이야기 (with 고은희),이문세 4집,1987,2026-09-13 14:39
62,1987,이지연,난 사랑을 아직 몰라,,이지연,난 사랑을 아직 몰라,그 후론,1989,2026-09-13 14:39
63,1987,전인권,사랑한 후에,,전인권 & 허성욱,사랑한 후에,1979-1987 추억 들국화,1987,2026-09-13 14:39
64,1987,최성수,동행,,최성수,동행,"2집 동행, 해후",1987,2026-09-13 14:39
65,1988,동물원,혜화동,,동물원,혜화동,동물원 2집,1988,2026-09-13 14:39
