번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
1,1978,김만준,모모,,김만준,모모,"무명가수의 하루,환상의 끝",1986,2026-08-28 15:25
2,1978,이은하,밤차,,이은하,밤차,오리지날 힛송 총결산집,1990,2026-08-28 15:25
3,1979,혜은이,제3한강교,,혜은이,제3 한강교,당신은 모르실거야/제3한강교,1985,2026-08-28 15:25
4,1980,산울림,창문 너머 어렴풋이,창문 너머 어렴풋이 옛 생각이 나겠지요,산울림,창문 너머 어렴풋이 옛 생각이 나겠지요,산울림 제6집 - 조금만 기다려요,1980,2026-08-28 15:25
5,1980,윤시내,열애,,윤시내,열애,윤시내 1집 (열애/아무 노래도 부를 수 없네/이 밤을 즐겁게),1979,2026-08-28 15:25
6,1980,조용필,단발머리,,조용필,단발머리,조용필 1집,1980,2026-08-28 15:25
7,1980,조용필,일편단심 민들레야,,조용필,일편단심 민들레야,조용필 3집,1981,2026-08-28 15:25
8,1980,조용필,창밖의 여자,,조용필,창밖의 여자,조용필 1집,1980,2026-08-28 15:25
9,1981,민해경,어느 소녀의 사랑 이야기,,민해경,어느소녀의사랑이야기,7080가요산책,1989,2026-08-28 15:25
10,1981,송골매,어쩌다 마주친 그대,,송골매,어쩌다 마주친 그대,송골매 2집,1981,2026-08-28 15:25
11,1981,이용,바람이려오,,이용,바람이려오,골든 히트 앨범 14,1994,2026-08-28 15:25
12,1981,조용필,고추잠자리,,조용필,고추잠자리,조용필 3집,1981,2026-08-28 15:25
13,1981,조용필,미워 미워 미워,,조용필,미워 미워 미워,조용필 3집,1981,2026-08-28 15:25
14,1982,윤수일,아파트,,윤수일,아파트,운명인 것을/찻잔의 이별,1987,2026-08-28 15:25
15,1982,전영록,종이학,,전영록,종이학,전영록 2집,1982,2026-08-28 15:25
16,1982,조용필,못찾겠다 꾀꼬리,,조용필,못찾겠다 꾀꼬리,조용필 4집,1982,2026-08-28 15:25
17,1982,조용필,비련,,조용필,비련,조용필 4집,1982,2026-08-28 15:25
18,1982,조용필,자존심,,조용필,자존심,조용필 4집,1982,2026-08-28 15:25
19,1983,김수철,못다 핀 꽃 한 송이,,김수철,못다핀 꽃 한 송이,못다핀 꽃 한 송이,1983,2026-08-28 15:25
20,1983,설운도,잃어버린 30년,,설운도,잃어버린 30년,88 마음이 울쩍해서,1983,2026-08-28 15:25
21,1983,정수라,아! 대한민국,,정수라,아! 대한민국,"정수라(바람이었나,아! 대한민국)",1983,2026-08-28 15:25
22,1983,조용필,친구여,,조용필,친구여,조용필 5집,1983,2026-08-28 15:25
23,1983,해바라기,행복을 주는 사람,,해바라기,행복을 주는 사람,그날 이후,1985,2026-08-28 15:25
24,1984,김수철,나도야 간다,,김수철,나도야 간다,젊은 그대,1984,2026-08-28 15:25
25,1984,김수철,젊은 그대,,김수철,젊은 그대,젊은 그대,1984,2026-08-28 15:25
26,1984,나미,빙글빙글,,나미,빙글빙글,골든앨범,1984,2026-08-28 15:25
