번호,첫방영연도,작품,배역,배우,곡명,가수,iTunes가수,iTunes곡명,음반,음반연도,판
1,1991,사랑이 뭐길래,이대발 · 박지은,최민수 · 하희라,타타타,김국환,김국환,타타타,타타타,,2026-08-28 14:20
2,1992,내일은 사랑,신범수 · 유현경,이병헌 · 고소영,내일은 사랑,이후종,이후종,내일은 사랑,내일은 사랑 (Original Television Soundtrack),,2026-08-28 14:20
3,1992,질투,하영호 · 유하경,최수종 · 최진실,질투,유승범,유승범,질투,질투 (Original Sound Track),,2026-08-28 14:20
4,1993,걸어서 하늘까지,정종호 · 임지숙,최민수 · 김혜선,걸어서 하늘까지,장현철,장현철,걸어서 하늘까지,걸어서 하늘까지 (Original Television Soundtrack),,2026-08-28 14:20
5,1994,느낌,한빈 · 유리,손지창 · 우희진,그대와 함께,손지창 & 김민종,손지창 & 김민종,그대와 함께,느낌 (Original TV Soundtrack),,2026-08-28 14:20
6,1994,마지막 승부,윤철준 · 정다슬,장동건 · 심은하,마지막 승부,김민교,김민교,마지막 승부,마지막 승부 (Original Television Soundtrack),,2026-08-28 14:20
7,1994,사랑을 그대 품안에,강풍호 · 이진주,차인표 · 신애라,사랑을 그대 품안에,최진영,최진영,사랑을 그대 품안에,"Love, Forever",,2026-08-28 14:20
8,1994,서울의 달,김홍식 · 차영숙,한석규 · 채시라,서울의 달,장철웅,장철웅,서울의 달,서울의 달 (Original Television Soundtrack),,2026-08-28 14:20
9,1994,종합병원,김도훈 · 이정화,이재룡 · 신은경,혼자만의 사랑,김태영,김태영,혼자만의 사랑,Kim Tae Young 1,,2026-08-28 14:20
10,1997,그대 그리고 나,윤수경 · 박동규,최진실 · 박상원,바람과 함께 부르는 노래,조혜리,조혜리,바람과 함께 부르는 노래 (시연 Love 테마),그대 그리고 나 Original Motion Picture Soundtrack,,2026-08-28 14:20
11,1997,모델,송경린 · 제임스 리,김남주 · 장동건,너 하나만 사랑해,고한우,고한우,너 하나만 사랑해,암연,,2026-08-28 14:20
12,1997,별은 내 가슴에,강민 · 이연이,안재욱 · 최진실,Forever,안재욱,안재욱,Forever,Forever,,2026-08-28 14:20
13,1998,미스터Q,이강토 · 한해원,김민종 · 김희선,세상 끝에서의 시작,김민종,김민종,세상 끝에서의 시작,"김민종 4집 ""애""",,2026-08-28 14:20
14,2000,가을동화,윤준서 · 윤은서,송승헌 · 송혜교,기도,정일영,정일영,기도,가을동화 (Original Television Soundtrack),,2026-08-28 14:20
15,2001,아름다운 날들,이민철 · 김연수,이병헌 · 최지우,약속,제로,제로,약속,SBS 드라마 아름다운 날들 (Original Television Soundtrack),,2026-08-28 14:20
16,2002,겨울연가,강준상 · 정유진,배용준 · 최지우,처음부터 지금까지,류,류,처음부터지금까지,겨울연가 (Original Television Soundtrack),,2026-08-28 14:20
17,2002,로망스,김채원 · 최관우,김하늘 · 김재원,이별이 오지 못하게,이가은,페이지,이별이 오지 못하게,Unforgettable,,2026-08-28 14:20
18,2002,야인시대,김두한 · 설향,안재모 · 허영란,야인Ⅰ,강성,강성,야인Ⅰ,야인시대 (Original Soundtrack),,2026-08-28 14:20
19,2002,인어아가씨,은아리영 · 이주왕,장서희 · 김성택,내 아픈 사랑,True Bird,True Bird,내 아픈 사랑,인어아가씨 (Original Soundtrack),,2026-08-28 14:20
20,2003,다모,장채옥 · 황보윤,하지원 · 이서진,비가,김범수,김범수,비가,다모 OST - Single,,2026-08-28 14:20
21,2003,대장금,서장금 · 민정호,이영애 · 지진희,오나라,김지현,"김지현, 백보현 & 김슬기",오나라 I,대장금 (Original Television Soundtrack),,2026-08-28 14:20
22,2003,올인,이인하 · 민수연,이병헌 · 송혜교,처음 그날처럼,박용하,박용하,처음 그 날처럼,올인 (Original Soundtrack),,2026-08-28 14:20
23,2003,천국의 계단,차송주 · 한정서,권상우 · 최지우,보고 싶다,김범수,김범수,천국의 계단 (Original Soundtrack) - 보고 싶다,천국의 계단 (Original Soundtrack) - 보고 싶다 - Single,,2026-08-28 14:20
24,2004,미안하다 사랑한다,차무혁 · 송은채,소지섭 · 임수정,눈의 꽃,박효신,박효신,눈의 꽃,미안하다 사랑한다 (Original Television Soundtrack),,2026-08-28 14:20
25,2004,발리에서 생긴 일,이수정 · 강인욱,하지원 · 소지섭,그게 사랑이니까,안젤로,안젤로,그게 사랑이니까,발리에서 생긴 일 (Original Television Soundtrack),,2026-08-28 14:20
26,2004,아일랜드,강국 · 이중아,현빈 · 이나영,그대로 있어주면 돼,김장훈,김장훈,그대로 있어주면 돼,아일랜드 (Original Soundtrack),,2026-08-28 14:20
27,2004,파리의 연인,한기주 · 강태영,박신양 · 김정은,너의 곁으로,조성모,조성모,너의 곁으로,파리의 연인 (Original Sound Track),,2026-08-28 14:20
28,2004,해신,장보고 · 정화,최수종 · 수애,니가 날 떠나,김범수,김범수,니가 날 떠나,해신 (Original Television Soundtrack),,2026-08-28 14:20
29,2005,내 이름은 김삼순,현진헌 · 김삼순,현빈 · 김선아,She Is,클래지콰이,클래지콰이,She Is,내 이름은 김삼순 (Original Television Soundtrack),,2026-08-28 14:20
30,2005,마이걸,설공찬 · 주유린,이동욱 · 이다해,상어를 사랑한 인어,조관우,조관우,상어를 사랑한 인어,마이 걸 (Original Television Soundtrack),,2026-08-28 14:20
31,2005,슬픈연가,서준영 · 박혜인,권상우 · 김희선,사랑한다면,윤건,윤건,사랑한다면,슬픈 연가 - Yoongun's Sad Love Story,,2026-08-28 14:20
32,2005,프라하의 연인,최상현 · 윤재희,김주혁 · 전도연,프라하성에서,최성욱,최성욱,프라하성에서,프라하의 연인 OST,,2026-08-28 14:20
33,2006,궁,이신 · 신채경,주지훈 · 윤은혜,사랑인가요,하울 제이,하울 & 제이,사랑인가요,궁 (Original Television Soundtrack),,2026-08-28 14:20
