year,artist,title,search,alt
1980,조용필,창밖의 여자,조용필 창밖의 여자 1집,
1980,조용필,단발머리,,
1981,조용필,고추잠자리,,
1982,전영록,종이학,전영록 종이학,
1982,조용필,못찾겠다 꾀꼬리,,
1983,정수라,아! 대한민국,정수라 아 대한민국,
1983,김수철,못다 핀 꽃 한 송이,,
1984,이선희,J에게,,
1984,김수철,젊은 그대,,
1984,나미,빙글빙글,,
1985,들국화,그것만이 내 세상,,
1985,이문세,난 아직 모르잖아요,,
1985,이문세,소녀,이문세 소녀,
1985,조용필,킬리만자로의 표범,,
1989,해바라기,사랑으로,해바라기 사랑으로,
1987,전인권,사랑한 후에,들국화 사랑한 후에,
1987,소방차,어젯밤 이야기,,
1987,유재하,사랑하기 때문에,,
1987,이문세,사랑이 지나가면,이문세 4집 사랑이 지나가면,
1987,이문세,깊은 밤을 날아서,,
1988,이문세,광화문 연가,,
1988,변진섭,홀로된다는 것,,
1988,주현미,신사동 그 사람,,
1988,무한궤도,그대에게,,
1987,소방차,그녀에게 전해주오,소방차 그녀에게 전해주오,
1989,변진섭,희망사항,,
1989,푸른하늘,겨울바다,,
1989,이승철,안녕이라고 말하지마,,
1989,나미,인디언 인형처럼,나미 인디언 인형처럼,Like an Indian Doll
1990,신승훈,미소 속에 비친 그대,,
1990,김완선,삐에로는 우릴 보고 웃지,김완선 삐에로는 우릴 보고 웃지 1990,Piero Laughs At Us
1990,윤상,이별의 그늘,,
1991,신승훈,보이지 않는 사랑,,
1991,김현식,내사랑 내곁에,,
1990,강수지,보라빛 향기,,
1992,서태지와 아이들,난 알아요,,I Know
1993,신승훈,널 사랑하니까,,
1993,서태지와 아이들,하여가,,
1993,김건모,핑계,,
1994,신승훈,그 후로 오랫동안,신승훈 그 후로 오랫동안,
1995,김건모,잘못된 만남,김건모 잘못된 만남,Wrongful Meeting
1994,서태지와 아이들,교실 이데아,,
1993,015B,신인류의 사랑,,
1995,룰라,날개 잃은 천사,,Angel Without Wings
1996,김건모,스피드,김건모 스피드,
1995,DJ DOC,머피의 법칙,,Murphy's Law
1996,H.O.T.,전사의 후예,,
1996,클론,꿍따리 샤바라,,Kkung Ttari Shabara
1996,양파,애송이의 사랑,,
1996,H.O.T.,캔디,H.O.T. Candy,Candy
1997,젝스키스,폼생폼사,젝스키스 폼생폼사 SECHSKIES,사나이 가는 길
1997,S.E.S.,I'm Your Girl,,
1999,god,어머님께,,
1998,핑클,블루레인,핑클 블루레인,Blue Rain
1998,조성모,To Heaven,,
1998,김현정,그녀와의 이별,,
2000,조성모,아시나요,,
1999,핑클,영원한 사랑,,
1999,god,사랑해 그리고 기억해,,
2000,god,거짓말,,Lies
2000,조성모,가시나무,,
1998,쿨,애상,,Sorrow
2001,브라운아이즈,벌써 일년,,
2001,god,길,,Road
2001,성시경,내게 오는 길,,
2002,보아,No.1,,넘버원
2002,이수영,라라라,,
2002,휘성,안되나요,,
2003,이효리,10 Minutes,,텐 미닛
2003,세븐,와줘,,Come Back To Me
2004,SG워너비,Timeless,,
2004,MC몽,너에게 쓰는 편지,,
2007,윤미래,잊었니,,
2005,동방신기,Rising Sun,동방신기 Rising Sun 순수,순수
2005,SG워너비,살다가,,
2005,버즈,겁쟁이,,
2007,빅뱅,거짓말,,Lies
2007,아이비,유혹의 소나타,,
2006,SG워너비,Partner for Life,SG워너비 Partner for Life,내사람
2007,원더걸스,Tell Me,,
2007,소녀시대,다시 만난 세계,,Into the New World
2007,빅뱅,마지막 인사,,Last Farewell
2008,원더걸스,Nobody,,
2008,빅뱅,하루하루,,Haru Haru
2008,샤이니,누난 너무 예뻐,,Replay
2009,소녀시대,Gee,,
2009,2NE1,I Don't Care,,아이 돈 케어
2009,슈퍼주니어,Sorry Sorry,,쏘리 쏘리
2009,카라,미스터,,Mister
2010,아이유,좋은 날,,Good Day
2010,미쓰에이,Bad Girl Good Girl,,배드 걸 굿 걸
2010,비스트,Beautiful,,뷰티풀
2011,티아라,롤리폴리,,ROLY-POLY
2011,빅뱅,Tonight,,
2011,씨스타,So Cool,,쏘쿨
2012,싸이,강남스타일,,Gangnam Style
2012,빅뱅,Fantastic Baby,,
2012,버스커버스커,벚꽃 엔딩,,Cherry Blossom Ending
2013,엑소,으르렁,엑소 으르렁 Growl,Growl
2013,소녀시대,I Got A Boy,,아이 갓 어 보이
2013,크레용팝,빠빠빠,,Bar Bar Bar
2014,소유 정기고,썸,,Some
2013,아이유,분홍신,,Red Shoes
2014,에이핑크,Mr. Chu,,Mr.Chu
2015,빅뱅,BANG BANG BANG,,
2014,EXID,위아래,,Up & Down
2015,여자친구,오늘부터 우리는,,Me Gustas Tu
2016,트와이스,CHEER UP,,
2016,블랙핑크,휘파람,,Whistle
2016,아이오아이,너무너무너무,,
2017,트와이스,Signal,,
2017,방탄소년단,DNA,,
2017,레드벨벳,빨간 맛,,
2018,블랙핑크,뚜두뚜두,,DDU-DU DDU-DU
2018,방탄소년단,IDOL,,
2018,모모랜드,BBoom BBoom,,뿜뿜
2019,방탄소년단,작은 것들을 위한 시,,Boy With Luv
2019,잔나비,주저하는 연인들을 위해,,
2019,ITZY,달라달라,,
2020,방탄소년단,Dynamite,,
2020,블랙핑크,How You Like That,,
2020,오마이걸,살짝 설렜어,,
2020,아이유,에잇,,
2021,방탄소년단,Butter,,
2021,에스파,Next Level,,
2017,브레이브걸스,롤린,,
2021,STAYC,ASAP,,
2022,뉴진스,Attention,,
2022,아이브,LOVE DIVE,,
2022,르세라핌,FEARLESS,,
2022,빅뱅,봄여름가을겨울,,
2022,뉴진스,Ditto,,
2023,아이브,I AM,,
2023,피프티피프티,Cupid,,
2023,르세라핌,UNFORGIVEN,,
2024,뉴진스,Supernatural,,
2024,아일릿,Magnetic,,
2024,에스파,Supernova,,
2024,투어스,첫 만남은 계획대로 되지 않아,,Plot Twist
2025,헌트릭스,Golden,케이팝 데몬 헌터스 Golden,
1980,산울림,창문 너머 어렴풋이,산울림 창문 너머 어렴풋이,창문 너머 어렴풋이 옛 생각이 나겠지요
1983,조용필,친구여,,
1984,이문세,나는 행복한 사람,,
1984,김수철,나도야 간다,김수철 나도야 간다,
1986,이선희,알고 싶어요,,I Want To Know
1991,양수경,사랑은 차가운 유혹,,
1987,김완선,나 홀로 뜰 앞에서,,Alone in Front of the Yard
1989,동물원,혜화동,,
1990,이승철,마지막 콘서트,,
1991,푸른하늘,꿈에서 본 거리,푸른하늘 꿈에서 본 거리,
1991,윤상,가려진 시간 사이로,윤상 가려진 시간 사이로,
1992,서태지와 아이들,환상속의 그대,,You in the Fantasy
1993,공일오비,어디선가 나의 노랠 듣고 있을 너,,
1994,투투,일과 이분의 일,,
1995,노이즈,상상속의 너,,
1995,터보,나 어릴적 꿈,,My Childhood Dream
1997,젝스키스,학원별곡,,
1997,H.O.T.,We are the Future,,
1998,코요태,순정,,
1998,핑클,내 남자친구에게,,
1998,유승준,나나나,,
1999,드렁큰타이거,너희가 힙합을 아느냐,,Do You Know Hip Hop
1998,S.E.S.,Dreams Come True,,
1999,이정현,와,,Wa
1999,베이비복스,Killer,,
2000,왁스,오빠,,Oppa
2001,싸이,새,,Bird
2002,비,나쁜 남자,,Bad Guy
2008,이효리,Hey Mr. Big,,
2004,신화,Brand New,,브랜드 뉴
2003,휘성,With Me,,위드 미
2004,김종국,한 남자,,One Man
2005,에픽하이,Fly,,플라이
2006,씨야,미친 사랑의 노래,,Crazy Love Song
2007,FT아일랜드,사랑앓이,,Love Sick
2005,이승철,서쪽하늘,,West Sky
2009,다비치,8282,,8282
2009,2PM,Again & Again,,어게인 앤 어게인
2009,브라운아이드걸스,아브라카다브라,,Abracadabra
2010,비스트,쇼크,,Shock
2010,씨엔블루,외톨이야,,Loner
2011,아이유,너랑 나,,You & I
2011,미쓰에이,Good Bye Baby,,
2012,인피니트,추격자,,The Chaser
2014,아이유,너의 의미,,Meaning of You
2013,씨스타,Give It To Me,,기브 잇 투 미
2014,악동뮤지션,200%,,200%
2014,태양,눈코입,,"Eyes, Nose, Lips"
2015,아이유,스물셋,,Twenty-Three
2014,자이언티,양화대교,,Yanghwa BRDG
2016,트와이스,TT,,
2016,볼빨간사춘기,우주를 줄게,,Galaxy
2017,아이유,밤편지,,Through the Night
2017,워너원,에너제틱,,Energetic
2018,아이콘,사랑을 했다,,
2018,트와이스,What is Love?,,
2019,화사,멍청이,,
2018,폴킴,모든 날 모든 순간,,
2020,지코,아무노래,,Any song
2020,아이즈원,Fiesta,,
2021,아이유,라일락,,LILAC
2021,악뮤,낙하,,Nakka
2022,아이브,After LIKE,,
2022,블랙핑크,Pink Venom,,
2023,뉴진스,Super Shy,,
2024,아이유,Love wins all,,
2024,데이식스,Welcome to the Show,,
2024,QWER,고민중독,,
2024,엔믹스,Dash,,
2024,베이비몬스터,DRIP,,
2025,아이들,Girlfriend,,
2024,RESCENE,LOVE ATTACK,,
2025,NMIXX,Blue Valentine,,
2025,CORTIS,GO!,CORTIS GO,
2025,화사,Good Goodbye,,
2025,우즈,I'll Never Love Again,WOODZ I'll Never Love Again,
2025,제니,like JENNIE,JENNIE like JENNIE,
2025,텐,STUNNER,TEN STUNNER,
2025,KiiiKiii,I DO ME,,
2025,에이티즈,Lemon Drop,ATEEZ Lemon Drop,레몬 드롭
2025,키스오브라이프,Lips Hips Kiss,KISS OF LIFE Lips Hips Kiss,
2025,데이식스,Maybe Tomorrow,DAY6 Maybe Tomorrow,
2025,아이브,XOXZ,IVE XOXZ,
2025,블랙핑크,JUMP,BLACKPINK JUMP,
2025,에스파,Dirty Work,aespa Dirty Work,
2025,트레저,YELLOW,TREASURE YELLOW,
2025,르세라핌,Come Over,LE SSERAFIM Come Over,
2025,Hearts2Hearts,Style,,
2026,KiiiKiii,404 (New Era),KiiiKiii 404 New Era,
2026,Hearts2Hearts,RUDE!,Hearts2Hearts RUDE,
2026,CORTIS,RedRed,,
2026,아이오아이,갑자기,아이오아이 갑자기,Suddenly
2026,방탄소년단,Swim,BTS Swim,
2026,엔하이픈,Lost Island,ENHYPEN Lost Island,
2026,엑소,Crown,EXO Crown 2026,
2026,블랙핑크,Champion,BLACKPINK Champion,
2026,방탄소년단,Hooligan,방탄소년단 Hooligan,
2026,에스파,Lemonade,aespa Lemonade,
2026,악동뮤지션,소문의 낙원,악뮤 소문의 낙원,
1987,이문세,그녀의 웃음소리뿐,,
1988,이문세,가로수 그늘 아래 서면,,
1991,이문세,옛사랑,,
1982,조용필,비련,,
1985,조용필,그 겨울의 찻집,,
1985,이선희,아 옛날이여,이선희 아 옛날이여,
1988,박남정,널 그리며,박남정 널 그리며,
1985,주현미,비 내리는 영동교,,
1989,이지연,바람아 멈추어다오,,
1990,민해경,보고 싶은 얼굴,,
1990,변진섭,너에게로 또 다시,,
1992,015B,아주 오래된 연인들,,
1991,015B,너에게 들려주고 싶은 이야기,,
1994,서태지와 아이들,발해를 꿈꾸며,,
1995,서태지와 아이들,컴백홈,서태지와 아이들 Come Back Home,Come Back Home
1995,이승환,천일동안,,
1995,박미경,이브의 경고,,
1995,R.ef,이별공식,,
1997,H.O.T.,행복,H.O.T. 행복,Full of happiness
1996,언타이틀,책임져,,
1998,젝스키스,커플,,
1998,S.E.S.,너를 사랑해,,
1998,핑클,루비,,루비 : 슬픈 눈물
2000,김현정,멍,김현정 멍,
1996,DJ DOC,여름 이야기,DJ DOC 여름 이야기,
1996,쿨,운명,쿨 운명,
1998,조성모,불멸의 사랑,,
1996,박진영,그녀는 예뻤다,,
1985,박미경,민들레 홀씨되어,,
1993,듀스,나를 돌아봐,듀스 나를 돌아봐,
2002,김범수,보고싶다,,
2001,포지션,I Love You,포지션 I Love You,
2003,보아,아틀란티스 소녀,,
2004,이수영,휠릴리,,
2005,SG워너비,죄와 벌,,
2005,김종국,사랑스러워,,
2005,나얼,바보에게 바보가,브라운아이드소울 나얼 바보에게 바보가,
2005,SS501,Snow Prince,,
2008,카라,Rock U,,
2008,원더걸스,So Hot,,
2008,동방신기,주문 MIROTIC,동방신기 주문 미로틱,미로틱
2008,이효리,U-Go-Girl,,
2009,소녀시대,Genie,소녀시대 소원을 말해봐,소원을 말해봐
2009,티아라,Bo Peep Bo Peep,,
2009,애프터스쿨,Diva,,
2004,장윤정,어머나,,
2002,장나라,Sweet Dream,,
2008,이승철,그런 사람 또 없습니다,,
2008,아이유,미아,,
2005,버즈,나에게로 떠나는 여행,,
2012,씨스타,나 혼자,,
2013,엑소,늑대와 미녀,,
2015,빅뱅,LOSER,,
2016,갓세븐,하드캐리,,
2017,블랙핑크,마지막처럼,블랙핑크 마지막처럼,AS IF IT'S YOUR LAST
2018,오마이걸,불꽃놀이,,
2015,자이언티,꺼내 먹어요,,
2015,백예린,우주를 건너,,
2018,수지,다른 사람을 사랑하고 있어,,
2019,악동뮤지션,어떻게 이별까지 사랑하겠어,,
2016,여자친구,시간을 달려서,여자친구 시간을 달려서,Rough
2019,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,,
2014,다이나믹 듀오,베베,,
2018,선미,사이렌,,
2013,크러쉬,잠 못 드는 밤,,
2019,아이유,Blueming,,
2021,아이유,Celebrity,,
2022,임영웅,다시 만날 수 있을까,,
2023,아이브,Kitsch,,
2024,라이즈,Love 119,,
2020,BTS,ON,방탄소년단 ON,
2021,투모로우바이투게더,0X1=LOVESONG,,
2022,뉴진스,Hype Boy,,
2023,세븐틴,손오공,,
2024,플레이브,여기 있을게,,
