year,type,work,characters,actors,song,artist,search,alt,verified
1992,drama,질투,하영호|유하경,최수종|최진실,질투,유승범,질투 드라마 유승범,,
1997,drama,별은 내 가슴에,강민|이연이,안재욱|최진실,Forever,안재욱,안재욱 Forever,,1
2000,drama,가을동화,윤준서|윤은서,송승헌|송혜교,기도,정일영,가을동화 OST 기도,,
2001,drama,아름다운 날들,이민철|김연수,이병헌|최지우,약속,제로,제로 약속 아름다운 날들,,
2002,drama,겨울연가,강준상|정유진,배용준|최지우,처음부터 지금까지,류,,,
2002,drama,로망스,김채원|최관우,김하늘|김재원,이별이 오지 못하게,이가은,이가은 이별이 오지 못하게,,1
2002,drama,야인시대,김두한|설향,안재모|허영란,야인Ⅰ,강성,야인시대 OST,,
2002,drama,인어아가씨,은아리영|이주왕,장서희|김성택,내 아픈 사랑,True Bird,내 아픈 사랑 인어 아가씨,,
2003,drama,다모,장채옥|황보윤,하지원|이서진,비가,김범수,다모 OST 김범수 비가,,
2003,drama,대장금,서장금|민정호,이영애|지진희,오나라,김지현,대장금 오나라,,
2003,drama,올인,이인하|민수연,이병헌|송혜교,처음 그날처럼,박용하,올인 OST 처음 그날처럼,,
2003,drama,천국의 계단,차송주|한정서,권상우|최지우,보고 싶다,김범수,천국의 계단 OST,,
2004,drama,미안하다 사랑한다,차무혁|송은채,소지섭|임수정,눈의 꽃,박효신,,,
2004,drama,발리에서 생긴 일,이수정|강인욱,하지원|소지섭,그게 사랑이니까,안젤로,발리에서 생긴 일 OST,,
2004,drama,아일랜드,강국|이중아,현빈|이나영,그대로 있어주면 돼,김장훈,아일랜드 OST 그대로 있어주면 돼,,
2004,drama,파리의 연인,한기주|강태영,박신양|김정은,너의 곁으로,조성모,파리의 연인 OST,,
2004,drama,해신,장보고|정화,최수종|수애,니가 날 떠나,김범수,해신 OST,,
2005,drama,굳세어라 금순아,황금순|구재희,한혜진|강지환,굳세어라 금순아,이미자 & 백설희,굳세어라 금순아 2005 OST,,
2005,drama,내 이름은 김삼순,현진헌|김삼순,현빈|김선아,She Is,클래지콰이,,,
2005,drama,마이걸,설공찬|주유린,이동욱|이다해,상어를 사랑한 인어,조관우,마이걸 OST 상어를 사랑한 인어,,
2006,drama,봄의 왈츠,윤재하|박은영,서도영|한효주,One Love,러브홀릭,러브홀릭 One Love 봄의 왈츠,,1
2005,drama,슬픈연가,서준영|박혜인,권상우|김희선,사랑한다면,윤건,슬픈연가 OST,,
2005,drama,프라하의 연인,최상현|윤재희,김주혁|전도연,프라하성에서,최성욱,프라하의 연인 2005 OST,,
2006,drama,궁,이신|신채경,주지훈|윤은혜,사랑인가요,하울 제이,궁 OST 사랑인가요,Perhaps Love,
2006,drama,넌 어느 별에서 왔니,최승희|김복실,김래원|정려원,넌 어느 별에서 왔니,현진영,넌 어느 별에서 왔니 2006 OST,,
2006,drama,소문난 칠공주,나설칠|연하남,이태란|박해진,단 한사람,고유진,소문난 칠공주 OST,,
2006,drama,주몽,주몽|소서노,송일국|한혜진,하늘이여 제발,인순이,인순이 하늘이여 제발,,1
2006,drama,환상의 커플,나상실|장철수,한예슬|오지호,괜히 나만 미워해,베니,환상의 커플 OST,,
2006,drama,황진이,황진이|김은호,하지원|장근석,꽃날,서웅석,황진이 2006 OST,,
2007,drama,개와 늑대의 시간,이수현|서지우,이준기|남상미,Foolish Heart,이수,개와 늑대의 시간 OST,,
