year,artist,title,search
1980,조용필,창밖의 여자,
1980,조용필,단발머리,
1981,조용필,고추잠자리,
1982,이용,잊혀진 계절,
1982,조용필,못찾겠다 꾀꼬리,
1983,정수라,아! 대한민국,정수라 아 대한민국
1983,김수철,못다 핀 꽃 한 송이,
1984,이선희,J에게,
1984,김수철,젊은 그대,
1984,나미,빙글빙글,
1985,들국화,그것만이 내 세상,
1985,이문세,난 아직 모르잖아요,
1985,이문세,소녀,
1985,조용필,킬리만자로의 표범,
1986,김완선,오늘밤,
1986,전인권,사랑한 후에,들국화 사랑한 후에
1987,소방차,어젯밤 이야기,
1987,유재하,사랑하기 때문에,
1987,이문세,사랑이 지나가면,
1987,이문세,깊은 밤을 날아서,
1988,이문세,광화문 연가,
1988,변진섭,홀로된다는 것,
1988,이상은,담다디,
1988,주현미,신사동 그 사람,
1988,무한궤도,그대에게,
1988,소방차,통화중,
1989,변진섭,희망사항,
1989,푸른하늘,겨울바다,
1989,이승철,안녕이라고 말하지마,
1989,나미,인디언 인형처럼,
1990,신승훈,미소 속에 비친 그대,
1990,김완선,삐에로는 우릴 보고 웃지,
1990,윤상,이별의 그늘,
1991,신승훈,보이지 않는 사랑,
1991,김현식,내사랑 내곁에,
1991,강수지,보라빛 향기,
1992,서태지와 아이들,난 알아요,
1992,신승훈,널 사랑하니까,
1992,015B,texas,015B 텍사스
1993,서태지와 아이들,하여가,
1993,김건모,핑계,
1993,신승훈,널 위한 이별,
1994,김건모,잘못된 만남,김건모 잘못된 만남
1994,서태지와 아이들,교실 이데아,
1994,015B,신인류의 사랑,
1995,룰라,날개 잃은 천사,
1995,김건모,speed,김건모 스피드
1995,DJ DOC,머피의 법칙,
1996,H.O.T.,전사의 후예,
1996,클론,꿍따리 샤바라,
1996,양파,애송이의 사랑,
1997,H.O.T.,캔디,H.O.T. Candy
1997,젝스키스,폼생폼사,
1997,S.E.S.,I'm Your Girl,
1997,god,어머님께,
1998,핑클,블루 레인,
1998,조성모,To Heaven,
1998,김현정,그녀와의 이별,
1999,조성모,아시나요,
1999,핑클,영원한 사랑,
1999,god,사랑해 그리고 기억해,
2000,god,거짓말,
2000,조성모,가시나무,
2000,쿨,애상,
2001,브라운아이즈,벌써 일년,
2001,god,길,
2001,성시경,내게 오는 길,
2002,보아,No.1,
2002,이수영,라라라,
2002,휘성,안되나요,
2003,이효리,10 Minutes,
2003,세븐,와줘,
2004,SG워너비,Timeless,
2004,MC몽,너에게 쓰는 편지,
2004,윤미래,잊었니,
2005,동방신기,Rising Sun,동방신기 Rising Sun 순수
2005,SG워너비,살다가,
2005,버즈,겁쟁이,
2006,빅뱅,거짓말,
2006,아이비,유혹의 소나타,
2006,SG워너비,내 사람,
2007,원더걸스,Tell Me,
2007,소녀시대,다시 만난 세계,
2007,빅뱅,마지막 인사,
2008,원더걸스,Nobody,
2008,빅뱅,하루하루,
2008,샤이니,누난 너무 예뻐,
2009,소녀시대,Gee,
2009,2NE1,I Don't Care,
2009,슈퍼주니어,Sorry Sorry,
2009,카라,미스터,
2010,아이유,좋은 날,
2010,미쓰에이,Bad Girl Good Girl,
2010,비스트,Beautiful,
2011,티아라,롤리폴리,
2011,빅뱅,Tonight,
2011,씨스타,So Cool,
2012,싸이,강남스타일,
2012,빅뱅,Fantastic Baby,
2012,버스커버스커,벚꽃 엔딩,
2013,엑소,으르렁,엑소 으르렁 Growl
2013,소녀시대,I Got A Boy,
2013,크레용팝,빠빠빠,
2014,소유 정기고,썸,
2014,아이유,분홍신,
2014,에이핑크,Mr. Chu,
2015,빅뱅,BANG BANG BANG,
2015,EXID,위아래,
2015,여자친구,오늘부터 우리는,
2016,트와이스,CHEER UP,
2016,블랙핑크,휘파람,
2016,아이오아이,너무너무너무,
2017,트와이스,Signal,
2017,방탄소년단,DNA,
