번호,발매연도,가수,곡,실제매칭가수,실제매칭곡,앨범,앨범연도
1,1980,산울림,창문 너머 어렴풋이,산울림,창문 너머 어렴풋이 옛 생각이 나겠지요,산울림 제6집 - 조금만 기다려요,1980
2,1980,조용필,창밖의 여자,조용필,창밖의 여자,조용필 1집,1980
3,1980,조용필,단발머리,조용필,단발머리,조용필 1집,1980
4,1981,조용필,고추잠자리,조용필,고추잠자리,조용필 3집,1981
5,1982,이용,잊혀진 계절,이용,잊혀진 계절,Come Back,2006
6,1982,조용필,못찾겠다 꾀꼬리,조용필,못찾겠다 꾀꼬리,조용필 4집,1982
7,1982,조용필,비련,조용필,비련,조용필 4집,1982
8,1983,김수철,못다 핀 꽃 한 송이,김수철,못다핀 꽃 한 송이,못다핀 꽃 한 송이,1983
9,1983,정수라,아! 대한민국,정수라,아! 대한민국,정수라 오리지날 총결산집,1983
10,1983,조용필,친구여,조용필,친구여,조용필 5집,1983
11,1984,김수철,젊은 그대,김수철,젊은 그대,젊은 그대,1984
12,1984,김수철,나도야 간다,김수철,나도야 간다,젊은 그대,1984
13,1984,나미,빙글빙글,나미,빙글빙글,골든앨범,1984
14,1984,이문세,나는 행복한 사람,이문세,나는 행복한 사람,나는 행복한 사람,1984
15,1984,이선희,J에게,이선희,J에게,이선희 1집,1985
16,1985,들국화,그것만이 내 세상,들국화,그것만이 내 세상,들국화 Ⅰ,1985
17,1985,박미경,민들레 홀씨되어,박미경,민들레 홀씨되어,85 Mbc 강변가요제 제6회(그대 먼곳에/밤에 피는 장미),1985
18,1985,이문세,난 아직 모르잖아요,이문세,난 아직 모르잖아요,난 아직 모르잖아요,1985
19,1985,이문세,소녀,이문세,소녀,난 아직 모르잖아요,1985
20,1985,조용필,킬리만자로의 표범,조용필,킬리만자로의 표범,조용필 8집,1985
21,1985,조용필,그 겨울의 찻집,조용필,그 겨울의 찻집,조용필 8집,1985
22,1985,주현미,비 내리는 영동교,주현미,비내리는 영동교,비내리는 영동교/그 정을 어이해요,1985
23,1986,김완선,오늘밤,김완선,오늘밤,The Original,2017
24,1986,이선희,알고 싶어요,이선희,알고 싶어요,이선희 2집,1986
25,1987,김완선,나 홀로 뜰 앞에서,김완선,Alone in Front of the Yard,Alone in Front of the Yard,1987
26,1987,소방차,어젯밤 이야기,소방차,어젯밤 이야기,어젯밤 이야기,1987
27,1987,유재하,사랑하기 때문에,유재하,사랑하기 때문에,사랑하기 때문에,1987
28,1987,이문세,사랑이 지나가면,이문세,사랑이 지나가면,이문세 4집,1987
29,1987,이문세,깊은 밤을 날아서,이문세,깊은 밤을 날아서,이문세 4집,1987
30,1987,이문세,그녀의 웃음소리뿐,이문세,그녀의 웃음소리뿐,이문세 4집,1987
31,1987,전인권,사랑한 후에,전인권 & 허성욱,사랑한 후에,1979-1987 추억 들국화,1987
32,1988,무한궤도,그대에게,무한궤도,그대에게,88 MBC 대학가요제,1988
33,1988,변진섭,홀로된다는 것,변진섭,홀로 된다는 것,홀로 된다는 것,1989
34,1988,소방차,통화중,소방차,통화중,Sobangcha 96 Forever,1996
35,1988,이문세,광화문 연가,이문세,광화문 연가,5집,1988
36,1988,이문세,가로수 그늘 아래 서면,이문세,가로수 그늘아래 서면,5집,1988
37,1988,정수라,환희,정수라,환희,가요산책 2,1994
38,1988,주현미,신사동 그 사람,주현미,신사동 그사람,주현미 2집,1990
