번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
1,2001,아름다운 날들,이민철,이병헌,김연수,최지우,제로,약속,제로,약속,SBS 드라마 아름다운 날들 (Original Television Soundtrack)
2,2002,겨울연가,강준상,배용준,정유진,최지우,류,처음부터 지금까지,류,처음부터지금까지,겨울연가 (Original Television Soundtrack)
3,2002,야인시대,김두한,안재모,설향,허영란,강성,야인Ⅰ,강성,야인Ⅰ,야인시대 (Original Soundtrack)
4,2002,인어아가씨,은아리영,장서희,이주왕,김성택,한도환,인어 아가씨 타이틀,한도환,인어 아가씨 타이틀,인어아가씨 (Original Soundtrack)
5,2003,대장금,서장금,이영애,민정호,지진희,김지현,오나라,"김지현, 백보현 & 김슬기",오나라 I,대장금 (Original Television Soundtrack)
6,2003,천국의 계단,차송주,권상우,한정서,최지우,김범수,천국의 계단 (Original Soundtrack) - 보고 싶다,김범수,천국의 계단 (Original Soundtrack) - 보고 싶다,천국의 계단 (Original Soundtrack) - 보고 싶다 - Single
7,2004,미안하다 사랑한다,차무혁,소지섭,송은채,임수정,박효신,눈의 꽃,박효신,눈의 꽃,미안하다 사랑한다 (Original Television Soundtrack)
8,2004,발리에서 생긴 일,이수정,하지원,강인욱,소지섭,안젤로,그게 사랑이니까,안젤로,그게 사랑이니까,발리에서 생긴 일 (Original Television Soundtrack)
9,2004,파리의 연인,한기주,박신양,강태영,김정은,조성모,너의 곁으로,조성모,너의 곁으로,파리의 연인 (Original Sound Track)
10,2004,해신,장보고,최수종,정화,수애,김범수,니가 날 떠나,김범수,니가 날 떠나,해신 (Original Television Soundtrack)
11,2005,내 이름은 김삼순,현진헌,현빈,김삼순,김선아,클래지콰이,She Is,클래지콰이,She Is,내 이름은 김삼순 (Original Television Soundtrack)
12,2005,봄의 왈츠,윤재하,서도영,박은영,한효주,이루마,봄의 왈츠 (His String Version),이루마,봄의 왈츠 (Piano Version),봄의 왈츠 클래식 (Original Television Soundtrack)
13,2005,슬픈연가,서준영,권상우,박혜인,김희선,윤건,사랑한다면,윤건,사랑한다면,슬픈 연가 - Yoongun's Sad Love Story
14,2005,프라하의 연인,최상현,김주혁,윤재희,전도연,최성욱,프라하성에서,최성욱,프라하성에서,프라하의 연인 OST
15,2006,궁,이신,주지훈,신채경,윤은혜,하울 제이,사랑인가요,하울 & 제이,사랑인가요,궁 (Original Television Soundtrack)
16,2006,소문난 칠공주,나설칠,이태란,연하남,박해진,고유진,단 한사람,고유진,단 한사람,소문난 칠공주 (Original Television Soundtrack)
17,2006,환상의 커플,나상실,한예슬,장철수,오지호,베니,괜히 나만 미워해,베니,괜히 나만 미워해,환상의 커플 (Original Television Soundtrack)
18,2006,황진이,황진이,하지원,김은호,장근석,서웅석,꽃날,서웅석,꽃날,황진이 (Original Television Soundtrack)
19,2007,개와 늑대의 시간,이수현,이준기,서지우,남상미,이수,Foolish Heart,이수,Foolish Heart,개와늑대의시간 TIME BETWEEN DOG AND WOLF
20,2007,뉴하트,이은성,지성,남혜석,김민정,타루,내겐 사랑하나…,타루,내겐 사랑하나…,뉴하트 (Original Soundtrack)
